about,authors,dateowned,gender,owner,shelfmark,texts
La vie de Sainte Catherine,Anonymous,c.1468 - 1503,Female,"Margaret of York, duchess of Burgundy",Olim Coll. de Waziers,La vie de Sainte Catherine d'Alexandre (Mielot)
The Hours of Elizabeth the Queen (Use of Sarum),,c.1430-1450,Female,"Cecily Neville, Duchess of York",BL Add. MS 50001,Book of Hours
The Hours of Elizabeth the Queen (Use of Sarum),,1503?-1521?,Male,"Edward Stafford, duke of Buckingham",BL Add. MS 50001,Book of Hours
The Hours of Elizabeth the Queen (Use of Sarum),,c.1450-1503,Female,"Elizabeth of York, queen consort of England",BL Add. MS 50001,Book of Hours
Roman de Tristan en prose,Anonymous,c.1486-1503,Female,"Elizabeth of York, queen consort of England",BL Harley MS 49,Tristan en prose
Roman de Tristan en prose,Anonymous,c.1461-c.1485,Male,Richard III of England,BL Harley MS 49,Tristan en prose
Poems by Charles d'Orleans; Epistres de Pseudo-Heloise; Les demands d'amours; Le livre dit grace entiere,"Charles d'Orléans,Pseudo-Heloise,Andreas Capellanus,Anonymous,Anonymous",1483,Male,Edward IV of England,BL Royal MS 16 F II,"Poèmes en français,Les epistres de labesse Heloys du Paraclit, laquelle abaye maistre Abaielart fonda aincois quil mourust,Les demandes d'amour,Le livre dit grace entiere sur le fait du gouuernement dun prince"
Poems by Charles d'Orleans; Epistres de Pseudo-Heloise; Les demands d'amours; Le livre dit grace entiere,"Charles d'Orléans,Pseudo-Heloise,Andreas Capellanus,Anonymous,Anonymous",1483-1503,Female,"Elizabeth of York, queen consort of England",BL Royal MS 16 F II,"Poèmes en français,Les epistres de labesse Heloys du Paraclit, laquelle abaye maistre Abaielart fonda aincois quil mourust,Les demandes d'amour,Le livre dit grace entiere sur le fait du gouuernement dun prince"
Poems by Charles d'Orleans; Epistres de Pseudo-Heloise; Les demands d'amours; Le livre dit grace entiere,"Charles d'Orléans,Pseudo-Heloise,Andreas Capellanus,Anonymous,Anonymous",1483-1509,Male,Henry VII of England,BL Royal MS 16 F II,"Poèmes en français,Les epistres de labesse Heloys du Paraclit, laquelle abaye maistre Abaielart fonda aincois quil mourust,Les demandes d'amour,Le livre dit grace entiere sur le fait du gouuernement dun prince"
The Welles Apocalypse,"Pierre d'Abernon,",c.1490-1507,Female,"Cecily of York, viscountess of Welles",BL Royal MS 15 D II,"La lumere as lais,Apocalypse en prose II"
The Welles Apocalypse,"Pierre d'Abernon,",c.1461-1499,Male,John Welles,BL Royal MS 15 D II,"La lumere as lais,Apocalypse en prose II"
Exeter Bohun Psalter,,c.1486-1503,Female,"Elizabeth of York, queen consort of England",Exeter College Oxford MS 47,Psalter
Exeter Bohun Psalter,,1360-1373,Male,Humphrey de Bohun,Exeter College Oxford MS 47,Psalter
Exeter Bohun Psalter,,c.1501-1533,Female,Katherine of Aragon,Exeter College Oxford MS 47,Psalter
Exeter Bohun Psalter,,c.1373-1394,Female,Mary de Bohun,Exeter College Oxford MS 47,Psalter
Grandes chroniques de France,"Primat,Richard Lescot,Anonymous",1496-1523?,Male,Charles III of Bourbon,BnF fr. 2600,"Grandes chroniques de France,Chronique amplifiée des rois de France dite de Guillaume de Nangis"
Grandes chroniques de France,"Primat,Richard Lescot,Anonymous",14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",BnF fr. 2600,"Grandes chroniques de France,Chronique amplifiée des rois de France dite de Guillaume de Nangis"
Grandes chroniques de France,"Primat,Richard Lescot,Anonymous",1486?-1496,Male,Gilbert de Bourbon-Montpensier,BnF fr. 2600,"Grandes chroniques de France,Chronique amplifiée des rois de France dite de Guillaume de Nangis"
Grandes chroniques de France,"Primat,Richard Lescot,Anonymous",1474-1486?,Male,Louis I de Bourbon-Montpensier,BnF fr. 2600,"Grandes chroniques de France,Chronique amplifiée des rois de France dite de Guillaume de Nangis"
Miroir ystorial,Vincent of Beauvais,1496?-1527?,Male,Charles III of Bourbon,NE 263,Miroir historial (complete text)
Miroir ystorial,Vincent of Beauvais,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 263,Miroir historial (complete text)
Miroir ystorial,Vincent of Beauvais,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 263,Miroir historial (complete text)
Livre du fait des Roumains,Marcus Annaeus Lucanus,1496?-1527?,Male,Charles III of Bourbon,NE 264,Faits des Romains
Livre du fait des Roumains,Marcus Annaeus Lucanus,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 264,Faits des Romains
Livre du fait des Roumains,Marcus Annaeus Lucanus,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 264,Faits des Romains
Chroniques de France,,1496-1523?,Male,Charles III of Bourbon,Arsenal fr. 4750,Chroniques de France
Chroniques de France,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",Arsenal fr. 4750,Chroniques de France
Chroniques de France,,1486?-1496,Male,Gilbert de Bourbon-Montpensier,Arsenal fr. 4750,Chroniques de France
Chroniques de France,,1474-1486?,Male,Louis I de Bourbon-Montpensier,Arsenal fr. 4750,Chroniques de France
Livre des eschez,Jacques de Cessoles,1496?-1527?,Male,Charles III of Bourbon,NE 266,Livre des échecs
Livre des eschez,Jacques de Cessoles,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 266,Livre des échecs
Livre des eschez,Jacques de Cessoles,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 266,Livre des échecs
Unes heures belles et grandes,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 267,Livre d'heures
Livre des anges,Francesc Eiximenis,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 268,Livre des anges
Parseval le Galoiz (in verse),Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 269,Perceval le Galois
Parseval le Galoiz (in verse),Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 269,Perceval le Galois
Parseval le Galoiz (in verse),Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 269,Perceval le Galois
Destruction de Troye en prose,,1496?-1527?,Male,Charles III of Bourbon,NE 270,Destruction de Troye en prose
Destruction de Troye en prose,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 270,Destruction de Troye en prose
Destruction de Troye en prose,,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 270,Destruction de Troye en prose
Passion Nostre Seigneur,Anonymous,14??-December 1483,Female,"Charlotte of Savoy, queen of France",NE 271,Passion Jhesucrist
Le Duc des vrays amans,Christine de Pizan,1496?-1527?,Male,Charles III of Bourbon,NE 272,Livre du Duc des Vrays Amans
Le Duc des vrays amans,Christine de Pizan,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 272,Livre du Duc des Vrays Amans
Le Duc des vrays amans,Christine de Pizan,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 272,Livre du Duc des Vrays Amans
"Ung livre ... qui commence, A Monseigneur le duc de Bourbon",,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 273,Unspecified
Information des princes (aka Le Gouvernement des roys),Gilles de Rome,14??-1426?,Male,Béraud III de Clermont-Sancerre,BnF fr. 1202,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Information des princes (aka Le Gouvernement des roys),Gilles de Rome,1496-1527?,Male,Charles III of Bourbon,BnF fr. 1202,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Information des princes (aka Le Gouvernement des roys),Gilles de Rome,1443?-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",BnF fr. 1202,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Information des princes (aka Le Gouvernement des roys),Gilles de Rome,1486?-1496,Male,Gilbert de Bourbon-Montpensier,BnF fr. 1202,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Information des princes (aka Le Gouvernement des roys),Gilles de Rome,1426?-1436,Female,"Jeanne I, Dauphine of Auvergne",BnF fr. 1202,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Information des princes (aka Le Gouvernement des roys),Gilles de Rome,1436?-1486?,Male,Louis I de Bourbon-Montpensier,BnF fr. 1202,Information des prince (aka Du Gouvernement des roys) (trans. Gauchy)
Calendrier,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 275,Calendrier
Boece de Consolation,Boethius,1496?-1507?,Male,Charles III of Bourbon,NE 276,Consolation de Philosophie (mixed; trans. de Meun)
Boece de Consolation,Boethius,14??-1476,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 276,Consolation de Philosophie (mixed; trans. de Meun)
Boece de Consolation,Boethius,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 276,Consolation de Philosophie (mixed; trans. de Meun)
Livre des Quatre fils Heymond,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 277,Quatre fils Aimon (aka Renaut de Montauban)
Livre des Quatre fils Heymond,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 277,Quatre fils Aimon (aka Renaut de Montauban)
Livre des Quatre fils Heymond,Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 277,Quatre fils Aimon (aka Renaut de Montauban)
La Phelipee (Phelippes le vaillant et victorieulx conte d'Artois,,1496?-1527?,Male,Charles III of Bourbon,NE 278,Phelippes le vaillant et victorieulx conte d'Artois
La Phelipee (Phelippes le vaillant et victorieulx conte d'Artois,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 278,Phelippes le vaillant et victorieulx conte d'Artois
La Phelipee (Phelippes le vaillant et victorieulx conte d'Artois,,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 278,Phelippes le vaillant et victorieulx conte d'Artois
Tristan et autres chevaliers,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 279,Tristan et autres chevaliers
Psaultier,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 280,Psautier
Unes heures vieilles,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 281,Livre d'heures
Unes heures neuves,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 282,Livre d'heures
Durmas le Galoiz,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 283,Durmart le gallois
Ung livre d'ystoires et personnaiges,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 284,Unspecified
L'Ymaige du monde,Gossuin de Metz,1496?-1527?,Male,Charles III of Bourbon,NE 285,Image du monde
L'Ymaige du monde,Gossuin de Metz,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 285,Image du monde
L'Ymaige du monde,Gossuin de Metz,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 285,Image du monde
Des aages du monde,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 286,Ages du monde
Des aages du monde,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 286,Ages du monde
Des aages du monde,Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 286,Ages du monde
Livre de Florymont,Aimon de Varennes,1496?-1527?,Male,Charles III of Bourbon,NE 287,Florimont
Livre de Florymont,Aimon de Varennes,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 287,Florimont
Livre de Florymont,Aimon de Varennes,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 287,Florimont
Les Croniques martinyennes,Martin of Opava,1496?-1527?,Male,Charles III of Bourbon,NE 288,Chronique martinienne
Les Croniques martinyennes,Martin of Opava,post-1458-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 288,Chronique martinienne
Les Croniques martinyennes,Martin of Opava,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 288,Chronique martinienne
"Melousine, en prose",Jean d'Arras,1496?-1527?,Male,Charles III of Bourbon,NE 289,Melusine ou La noble histoire de Lusignan
"Melousine, en prose",Jean d'Arras,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 289,Melusine ou La noble histoire de Lusignan
"Melousine, en prose",Jean d'Arras,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 289,Melusine ou La noble histoire de Lusignan
Les Stratagemes Julles Frontin,Sextus Julius Frontinus,1496?-1527?,Male,Charles III of Bourbon,NE 290,Stratagèmes
Les Stratagemes Julles Frontin,Sextus Julius Frontinus,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 290,Stratagèmes
Les Stratagemes Julles Frontin,Sextus Julius Frontinus,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 290,Stratagèmes
Epîtres des dames de Grèce (Les Héroïdes),Ovid,1496?-1527?,Male,Charles III of Bourbon,NE 291,Epîtres des dames de Grèce
Epîtres des dames de Grèce (Les Héroïdes),Ovid,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 291,Epîtres des dames de Grèce
Epîtres des dames de Grèce (Les Héroïdes),Ovid,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 291,Epîtres des dames de Grèce
Le Devot sexe femenyn (Débat entre bouche médisant et femme défendant),Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 292,Débat entre bouche médisant et femme défendant
Le Devot sexe femenyn (Débat entre bouche médisant et femme défendant),Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 292,Débat entre bouche médisant et femme défendant
Le Devot sexe femenyn (Débat entre bouche médisant et femme défendant),Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 292,Débat entre bouche médisant et femme défendant
La Vie saint Francoiz,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 293,La Vie saint Francois
La Vision d'enfert des peschiez mortels,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 294,Vision d'enfer
Cleriadus et Meleadisse,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 295,Roman de Cleriadus et Meliadice
L'Arbre des batailles,Honoré Bonet (aka Honoré Bovet),14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 296,Arbre des batailles
Livre de Marquepol (Marco Polo),"Marco Polo,Rusticien de Pise",14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 297,Devisement du monde
La Vie seur Quolete,Pierre de Reims or de Vaux,1496?-1527?,Male,Charles III of Bourbon,NE 298,Vie de sainte Colette de Corbie
La Vie seur Quolete,Pierre de Reims or de Vaux,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 298,Vie de sainte Colette de Corbie
La Vie seur Quolete,Pierre de Reims or de Vaux,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 298,Vie de sainte Colette de Corbie
Les Trois fils de roy,Anonymous,post-1462-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 299,Les trois fils de rois
Livre du Conte d'Artoiz et de la contesse de Bouloigne,Anonymous,post-1453?-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 300,Le Roman du comte d'Artois
La Vie Nostre Seigneur,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NEP 22,Passion Jhesucrist
La Vie Nostre Seigneur,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NEP 22,Passion Jhesucrist
La Vie Nostre Seigneur,Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NEP 22,Passion Jhesucrist
Floret et Florete,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 302,Floriant et Florete
Floret et Florete,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 302,Floriant et Florete
Floret et Florete,Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 302,Floriant et Florete
L'Art d'amours,Ovid,1496?-1527?,Male,Charles III of Bourbon,NE 303,L'Art d'amours
L'Art d'amours,Ovid,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 303,L'Art d'amours
L'Art d'amours,Ovid,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 303,L'Art d'amours
Le Quadrologue maistre Allain,Alain Chartier,1496?-1527?,Male,Charles III of Bourbon,NE 304,Quadriloge invectif
Le Quadrologue maistre Allain,Alain Chartier,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 304,Quadriloge invectif
Le Quadrologue maistre Allain,Alain Chartier,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 304,Quadriloge invectif
Le Doulent fortuné,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 305,Doulent fortuné (Le Chevalier des dames)
Le Doulent fortuné,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 305,Doulent fortuné (Le Chevalier des dames)
Le Doulent fortuné,Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 305,Doulent fortuné (Le Chevalier des dames)
Le Livre maistre Jehan Jarsson,Jean Gerson,1496?-1527?,Male,Charles III of Bourbon,NE 306,Sermons
Le Livre maistre Jehan Jarsson,Jean Gerson,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 306,Sermons
Le Livre maistre Jehan Jarsson,Jean Gerson,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 306,Sermons
Des Batailles de Turquye (Prise de Constantinople),Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 307,Prise de Constantinople
Des Batailles de Turquye (Prise de Constantinople),Anonymous,post-1453-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 307,Prise de Constantinople
Des Batailles de Turquye (Prise de Constantinople),Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 307,Prise de Constantinople
La Cité des dames,Christine de Pizan,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 308,Livre de la Cité des Dames
L'Amant rendu cordelier,,1496?-1527?,Male,Charles III of Bourbon,NE 309,Amant rendu cordelier a l'observance d'amour
L'Amant rendu cordelier,,post-1441-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 309,Amant rendu cordelier a l'observance d'amour
L'Amant rendu cordelier,,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 309,Amant rendu cordelier a l'observance d'amour
Le livre Arnaiz d'Orléans,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 301,Le Livre Arnaiz d'Orléans
De Consolation,Boethius,1496?-1527?,Male,Charles III of Bourbon,NE 310,Consolation de philosophie (verse)
De Consolation,Boethius,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 310,Consolation de philosophie (verse)
De Consolation,Boethius,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 310,Consolation de philosophie (verse)
La Complainte maistre Allain,Alain Chartier,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 311,La Complainte maistre Allain
L'Art de chevalerie,Vegetius,1496?-1527?,Male,Charles III of Bourbon,NE 312,Art de chevalerie (trans. Jean de Meun)
L'Art de chevalerie,Vegetius,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 312,Art de chevalerie (trans. Jean de Meun)
L'Art de chevalerie,Vegetius,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 312,Art de chevalerie (trans. Jean de Meun)
Livre de messire Bertrand Duglesquin,Anonymous,1496-1523,Male,Charles III of Bourbon,BnF fr. 4993,Livre des faits de messire Bertrand du Guesclin
Livre de messire Bertrand Duglesquin,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",BnF fr. 4993,Livre des faits de messire Bertrand du Guesclin
Livre de messire Bertrand Duglesquin,Anonymous,1486?-1496,Male,Gilbert de Bourbon-Montpensier,BnF fr. 4993,Livre des faits de messire Bertrand du Guesclin
Livre de messire Bertrand Duglesquin,Anonymous,1474-1486,Male,Louis I de Bourbon-Montpensier,BnF fr. 4993,Livre des faits de messire Bertrand du Guesclin
Livre Sainct Augustin; Chastel perilleux,"Robert le Chartreux,St. Augustine",1496?-1527?,Male,Charles III of Bourbon,NE 314,"Chasteau perilleux,Livre Sainct Augustin (unspecified)"
Livre Sainct Augustin; Chastel perilleux,"Robert le Chartreux,St. Augustine",14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 314,"Chasteau perilleux,Livre Sainct Augustin (unspecified)"
Livre Sainct Augustin; Chastel perilleux,"Robert le Chartreux,St. Augustine",1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 314,"Chasteau perilleux,Livre Sainct Augustin (unspecified)"
Le Livre Girart de Vienne,Bertrand de Bar-sur-Aube,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 315,Girart de Vienne
"Ereth, fils du roy Lac",Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 316,"Ereth, fils du roy Lac (Erec et Enide?)"
"Ereth, fils du roy Lac",Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 316,"Ereth, fils du roy Lac (Erec et Enide?)"
"Ereth, fils du roy Lac",Anonymous,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 316,"Ereth, fils du roy Lac (Erec et Enide?)"
"La Destruction de Troye, en ryme",Jacques Milet,1496?-1527?,Male,Charles III of Bourbon,NE 317,Histoire de la destruction de Troyes la Grant
"La Destruction de Troye, en ryme",Jacques Milet,post-1450-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 317,Histoire de la destruction de Troyes la Grant
"La Destruction de Troye, en ryme",Jacques Milet,1474-1496?,Male,Gilbert de Bourbon-Montpensier,NE 317,Histoire de la destruction de Troyes la Grant
De l'amitié,Cicero,1496?-1527?,Male,Charles III of Bourbon,NE 318,Livre de vrai amitié
De l'amitié,Cicero,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 318,Livre de vrai amitié
De l'amitié,Cicero,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 318,Livre de vrai amitié
Homme et femme pellerins,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 319,Homme et femme pellerins
Homme et femme pellerins,Anonymous,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 319,Homme et femme pellerins
Les Cent nouveles,Giovanni Boccaccio,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 320,Decameron
La Complainte de l'amant trespassé de dueil; autres livres,",Pierre de Hauteville",post-1441-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 321,"Unspecified,Complainte de l'amant trespassé de deuil"
Vies des saintz,,1496?-1527?,Male,Charles III of Bourbon,NE 322,Vies des saints
Vies des saintz,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 322,Vies des saints
Vies des saintz,,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 322,Vies des saints
Roman de Lion de Bourges,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 323,Roman de Lion de Bourges
Roman de Lion de Bourges,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 323,Roman de Lion de Bourges
Roman de Lion de Bourges,Anonymous,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 323,Roman de Lion de Bourges
Le Remede de fortune,Seneca the Younger,1496?-1527?,Male,Charles III of Bourbon,NE 324,Remède de fortune
Le Remede de fortune,Seneca the Younger,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 324,Remède de fortune
Le Remede de fortune,Seneca the Younger,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 324,Remède de fortune
La Proprieté des herbes,Pseudo-Macer,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 325,Vertus des herbes
Le Desduit des chiens et oiseaux (Roman des deduis?),Gace de la Buigne,1496?-1527?,Male,Charles III of Bourbon,NE 326,Roman des deduis
Le Desduit des chiens et oiseaux (Roman des deduis?),Gace de la Buigne,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 326,Roman des deduis
Le Desduit des chiens et oiseaux (Roman des deduis?),Gace de la Buigne,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 326,Roman des deduis
Livre du Conte de Flandres,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 327,"Chronique des comtes de Flandres, 792-1165"
Vie sainte Getrus; Guillaume de Beaujeu,"Anonymous,",1496?-1527?,Male,Charles III of Bourbon,NE 328,"Vie de sainte Gertrude de Nivelles,Guillaume de Beaujeu"
Vie sainte Getrus; Guillaume de Beaujeu,"Anonymous,",14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 328,"Vie de sainte Gertrude de Nivelles,Guillaume de Beaujeu"
Vie sainte Getrus; Guillaume de Beaujeu,"Anonymous,",1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 328,"Vie de sainte Gertrude de Nivelles,Guillaume de Beaujeu"
La Dance macabre,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 329,Dance macabre
La Dance macabre,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 329,Dance macabre
La Dance macabre,Anonymous,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 329,Dance macabre
Messire Jehan de la Lende,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 330,Messire Jehan de la Lende
"Le Trespas du duc Phelipes (Complainte sur la mort de Philippe le Bon?), et autres livres",George Chastellain,1467?-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 331,Complainte sur la mort de Philippe le Bon
Robert le Diable,Anonymous,1496?-1527?,Male,Charles III of Bourbon,NE 332,Robert le Diable
Robert le Diable,Anonymous,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 332,Robert le Diable
Robert le Diable,Anonymous,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 332,Robert le Diable
Le Chapelet de Paradis,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 333,Chapelet de Paradis
Ung livre de medecine,,1496?-1527?,Male,Charles III of Bourbon,NE 334,Ung livre de medecine
Ung livre de medecine,,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 334,Ung livre de medecine
Ung livre de medecine,,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 334,Ung livre de medecine
Les Cent ballades,Christine de Pizan,1496?-1527?,Male,Charles III of Bourbon,NE 335,Cent balades (de Christine de Pizan)
Les Cent ballades,Christine de Pizan,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 335,Cent balades (de Christine de Pizan)
Les Cent ballades,Christine de Pizan,1474?-1496?,Male,Gilbert de Bourbon-Montpensier,NE 335,Cent balades (de Christine de Pizan)
La Confession d'amours (Confession d'un mourant? Confrere d'amours?),,14??-1474,Female,"Gabrielle de la Tour d'Auvergne, countess of Montpensier",NE 336,La Confession d'amours
